x,x,x,-0.279006,-0.410286,-0.475053,-0.50719,-0.523187,-0.531166
x,x,y,-0.341506,-0.458311,-0.503079,-0.52217,-0.530913,-0.535088
x,x,zp,-0.341506,-0.455834,-0.501025,-0.520918,-0.530229,-0.534731
x,x,zm,-0.341506,-0.460787,-0.505132,-0.523422,-0.531598,-0.535445
x,y,x,-0.404006,-0.506335,-0.531104,-0.53715,-0.53864
x,y,y,-0.404006,-0.505391,-0.530407,-0.536748,-0.538426
x,y,zp,-0.404006,-0.503859,-0.52905,-0.535899,-0.537956
x,y,zm,-0.404006,-0.508812,-0.533158,-0.538402,-0.539324
x,zp,x,0.029006,-0.307752,-0.436683,-0.49121,-0.515995,-0.527769,-0.533502
x,zp,y,-0.375,-0.485552,-0.519717,-0.531294,-0.535683
x,zp,zp,-0.375,-0.483075,-0.517663,-0.530042,-0.534999
x,zp,zm,-0.375,-0.488028,-0.521771,-0.532545,-0.536367
x,zm,x,-0.837019,-0.704918,-0.625525,-0.58309,-0.561284,-0.550249,-0.544701
x,zm,y,-0.433013,-0.527118,-0.542491,-0.543007,-0.541596
x,zm,zp,-0.433013,-0.524642,-0.540437,-0.541755,-0.540912
x,zm,zm,-0.433013,-0.529595,-0.544545,-0.544259,-0.542281
y,x,x,-0.341506,-0.458311,-0.503079,-0.52217,-0.530913,-0.535088
y,x,y,-0.404006,-0.506335,-0.531104,-0.53715,-0.53864
y,x,zp,-0.404006,-0.503859,-0.52905,-0.535899,-0.537956
y,x,zm,-0.404006,-0.508812,-0.533158,-0.538402,-0.539324
y,y,x,-0.404006,-0.505391,-0.530407,-0.536748,-0.538426
y,y,y,-0.404006,-0.504447,-0.52971,-0.536345,-0.538212
y,y,zp,-0.404006,-0.502915,-0.528354,-0.535496,-0.537742
y,y,zm,-0.404006,-0.507868,-0.532461,-0.538,-0.53911
y,zp,x,-0.375,-0.485552,-0.519717,-0.531294,-0.535683
y,zp,y,-0.375,-0.485552,-0.519701,-0.531283,-0.535677
y,zp,zp,-0.375,-0.483075,-0.517663,-0.530042,-0.534999
y,zp,zm,-0.375,-0.488028,-0.521771,-0.532545,-0.536367
y,zm,x,-0.433013,-0.527118,-0.542491,-0.543007,-0.541596
y,zm,y,-0.433013,-0.527118,-0.542507,-0.543018,-0.541603
y,zm,zp,-0.433013,-0.524642,-0.540437,-0.541755,-0.540912
y,zm,zm,-0.433013,-0.529595,-0.544545,-0.544259,-0.542281
zp,x,x,-0.341506,-0.455834,-0.501025,-0.520918,-0.530229,-0.534731
zp,x,y,-0.404006,-0.503859,-0.52905,-0.535899,-0.537956
zp,x,zp,-0.404006,-0.501382,-0.526997,-0.534647,-0.537271
zp,x,zm,-0.404006,-0.506335,-0.531104,-0.53715,-0.53864
zp,y,x,-0.404006,-0.503859,-0.52905,-0.535899,-0.537956
zp,y,y,-0.404006,-0.502915,-0.528354,-0.535496,-0.537742
zp,y,zp,-0.404006,-0.501382,-0.526997,-0.534647,-0.537271
zp,y,zm,-0.404006,-0.506335,-0.531104,-0.53715,-0.53864
zp,zp,x,-0.375,-0.483075,-0.517663,-0.530042,-0.534999
zp,zp,y,-0.375,-0.483075,-0.517663,-0.530042,-0.534999
zp,zp,zp,-0.375,-0.480599,-0.51561,-0.52879,-0.534315
zp,zp,zm,-0.375,-0.485552,-0.519717,-0.531294,-0.535683
zp,zm,x,-0.433013,-0.524642,-0.540437,-0.541755,-0.540912
zp,zm,y,-0.433013,-0.524642,-0.540437,-0.541755,-0.540912
zp,zm,zp,-0.433013,-0.522165,-0.538384,-0.540504,-0.540228
zp,zm,zm,-0.433013,-0.527118,-0.542491,-0.543007,-0.541596
zm,x,x,-0.341506,-0.460787,-0.505132,-0.523422,-0.531598,-0.535445
zm,x,y,-0.404006,-0.508812,-0.533158,-0.538402,-0.539324
zm,x,zp,-0.404006,-0.506335,-0.531104,-0.53715,-0.53864
zm,x,zm,-0.404006,-0.511288,-0.535211,-0.539654,-0.540008
zm,y,x,-0.404006,-0.508812,-0.533158,-0.538402,-0.539324
zm,y,y,-0.404006,-0.507868,-0.532461,-0.538,-0.53911
zm,y,zp,-0.404006,-0.506335,-0.531104,-0.53715,-0.53864
zm,y,zm,-0.404006,-0.511288,-0.535211,-0.539654,-0.540008
zm,zp,x,-0.375,-0.488028,-0.521771,-0.532545,-0.536367
zm,zp,y,-0.375,-0.488028,-0.521771,-0.532545,-0.536367
zm,zp,zp,-0.375,-0.485552,-0.519717,-0.531294,-0.535683
zm,zp,zm,-0.375,-0.490505,-0.523824,-0.533797,-0.537052
zm,zm,x,-0.433013,-0.529595,-0.544545,-0.544259,-0.542281
zm,zm,y,-0.433013,-0.529595,-0.544545,-0.544259,-0.542281
zm,zm,zp,-0.433013,-0.527118,-0.542491,-0.543007,-0.541596
zm,zm,zm,-0.433013,-0.532071,-0.546598,-0.54551,-0.542965
